pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid	PPI
5t4z	H	L	0	H	carbohydrate	MAN	polysaccharide	IMMUNE SYSTEM	08/30/16	STRUCTURE OF THE ANTI-HIV ANTIBODY DH501 THAT BINDS GP120 V3 GLYCAN AND THE BASE OF V3 WITH FREE MAN9 GLYCAN	MACACA MULATTA	macaca mulatta	macaca mulatta	macaca mulatta	Nicely, N.I., Haynes, B.F.	1.9909999999999999	X-RAY DIFFRACTION	0.239	0.187	False	True	IGHV2	IGLV1	Lambda	None	None	None	None	None	5T4Z_HL_H
6pcu	I	H	0	G	protein		outer capsid protein vp4	viral protein/immune system	06/18/19	VP8* of a G2P[4] human rotavirus in complex with scFv antibody 9	ROTAVIRUS A; HOMO SAPIENS	homo sapiens	homo sapiens	rotavirus a	Hu, L., Venkataram Prasad, B.V.	2.4	X-RAY DIFFRACTION	0.237	0.18600000000000003	False	True	IGHV4	IGLV9	Lambda	None	None	None	None	None	6PCU_IH_G
6pcu	C	B	0	A	protein		outer capsid protein vp4	viral protein/immune system	06/18/19	VP8* of a G2P[4] human rotavirus in complex with scFv antibody 9	ROTAVIRUS A; HOMO SAPIENS	homo sapiens	homo sapiens	rotavirus a	Hu, L., Venkataram Prasad, B.V.	2.4	X-RAY DIFFRACTION	0.237	0.18600000000000003	False	True	IGHV4	IGLV9	Lambda	None	None	None	None	None	6PCU_CB_A
6pcu	F	E	0	D	protein		outer capsid protein vp4	viral protein/immune system	06/18/19	VP8* of a G2P[4] human rotavirus in complex with scFv antibody 9	ROTAVIRUS A; HOMO SAPIENS	homo sapiens	homo sapiens	rotavirus a	Hu, L., Venkataram Prasad, B.V.	2.4	X-RAY DIFFRACTION	0.237	0.18600000000000003	False	True	IGHV4	IGLV9	Lambda	None	None	None	None	None	6PCU_FE_D
3ifo	A	B	0	Q	peptide		amyloid beta a4 protein	IMMUNE SYSTEM	07/24/09	X-ray structure of amyloid beta peptide:antibody (Abeta1-7:10D5) complex	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Weis, W.I., Feinberg, H., Basi, G.S., Schenk, D.	2.15	X-RAY DIFFRACTION	0.218	0.162	False	True	IGHV8	IGKV1	Kappa	5.45E-08	-9.9	SPR	25	19923222	3IFO_AB_Q
3ifo	H	L	0	P	peptide		amyloid beta a4 protein	IMMUNE SYSTEM	07/24/09	X-ray structure of amyloid beta peptide:antibody (Abeta1-7:10D5) complex	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Weis, W.I., Feinberg, H., Basi, G.S., Schenk, D.	2.15	X-RAY DIFFRACTION	0.218	0.162	False	True	IGHV8	IGKV1	Kappa	5.45E-08	-9.9	SPR	25	19923222	3IFO_HL_P
7dm2	H	L	0	A	protein		phosphate-binding protein psts 1	TRANSPORT PROTEIN/IMMUNE SYSTEM	12/01/20	crystal structure of the M. tuberculosis phosphate ABC transport receptor PstS-1 in complex with Fab p4-170	MYCOBACTERIUM TUBERCULOSIS H37RV; HOMO SAPIENS	homo sapiens	homo sapiens	mycobacterium tuberculosis h37rv	Ma, B., Freund, N., Xiang, Y.	2.4	X-RAY DIFFRACTION	0.216	0.17	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None	7DM2_HL_A
6nha	H	L	0	AB	protein | protein	NA | NA	igg receptor fcrn large subunit p51 | beta-2-microglobulin	IMMUNE SYSTEM	12/21/18	Crystal structure of SYNT001, a human FcRn blocking monoclonal antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens | homo sapiens	Blumberg, R.S., Cheung, J., Mahmood, A., Gandhi, A.K.	2.381	X-RAY DIFFRACTION	0.245	0.19	False	True	IGHV1	IGKV13	Kappa	None	None	None	None	None	6NHA_HL_AB
5wna	H	L	0	B	peptide		major surface glycoprotein g	VIRAL PROTEIN/IMMUNE SYSTEM	07/31/17	Structure of antibody 3D3 bound to the central conserved region of RSV G	HOMO SAPIENS; HUMAN RESPIRATORY SYNCYTIAL VIRUS A	homo sapiens	homo sapiens	human respiratory syncytial virus a	Fedechkin, S.O., George, N.L., Wolff, J.T., Kauvar, L.M., DuBois, R.M.	2.4	X-RAY DIFFRACTION	0.246	0.192	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None	5WNA_HL_B
5wna	C	D	0	A	peptide		major surface glycoprotein g	VIRAL PROTEIN/IMMUNE SYSTEM	07/31/17	Structure of antibody 3D3 bound to the central conserved region of RSV G	HOMO SAPIENS; HUMAN RESPIRATORY SYNCYTIAL VIRUS A	homo sapiens	homo sapiens	human respiratory syncytial virus a	Fedechkin, S.O., George, N.L., Wolff, J.T., Kauvar, L.M., DuBois, R.M.	2.4	X-RAY DIFFRACTION	0.246	0.192	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None	5WNA_CD_A
6nuy	H	L	0	A	carbohydrate	GAL	BETA-D-GALACTOSE	IMMUNE SYSTEM	02/03/19	Structural basis for anti-alpha-galactosyl response	MUS MUSCULUS	mus musculus	mus musculus		Langley, D.B., Christ, D.	1.55	X-RAY DIFFRACTION	0.202	0.17800000000000002	False	True	IGHV6	IGKV1	Kappa	None	None	None	None	None	6NUY_HL_A
4xny	H	L	0	G	protein		envelope glycoprotein gp160,envelope glycoprotein gp160,envelope glycoprotein gp160 	IMMUNE SYSTEM	01/16/15	Crystal structure of broadly and potently neutralizing antibody VRC08C in complex with HIV-1 clade A strain Q842.d12 gp120	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Srivatsan, S., Kwong, P.D.	2.3	X-RAY DIFFRACTION	0.217	0.182	False	True	unknown	IGKV3	Kappa	None	None	None	None	None	4XNY_HL_G
1clz	H	L	0	H	carbohydrate	FUC	polysaccharide	IMMUNOGLOBULIN	03/15/95	IGG FAB (IGG3, KAPPA) FRAGMENT (MBR96) COMPLEXED WITH LEWIS Y NONOATE METHYL ESTER	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Sheriff, S., Bajorath, J.	2.8	X-RAY DIFFRACTION	0.295	0.19699999999999998	False	False	IGHV5	IGKV1	Kappa	None	None	None	None	None	1CLZ_HL_H
5mhe	H	L	0	H	Hapten	T44	3,5,3',5'-TETRAIODO-L-THYRONINE	IMMUNE SYSTEM	11/24/16	Crystal structure of anti-T4 Fab fragment with T4	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Parkkinen, T., Rouvinen, J.	1.9	X-RAY DIFFRACTION	0.227	0.17800000000000002	False	True	IGHV5	IGKV4	Kappa	None	None	None	None	None	5MHE_HL_H
6x1u	A	B	0	C	peptide		aclyana-3-ptza peptide	IMMUNE SYSTEM	05/19/20	Structure of pHis Fab (SC39-4) in complex with pHis mimetic peptide	ORYCTOLAGUS CUNICULUS; SYNTHETIC CONSTRUCT	oryctolagus cuniculus	oryctolagus cuniculus	synthetic construct	Kalagiri, R., Stanfield, R., Wilson, I.A., Hunter, T.	1.641	X-RAY DIFFRACTION	0.225	0.18899999999999997	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None	6X1U_AB_C
6x1u	H	L	0	D	peptide		aclyana-3-ptza peptide	IMMUNE SYSTEM	05/19/20	Structure of pHis Fab (SC39-4) in complex with pHis mimetic peptide	ORYCTOLAGUS CUNICULUS; SYNTHETIC CONSTRUCT	oryctolagus cuniculus	oryctolagus cuniculus	synthetic construct	Kalagiri, R., Stanfield, R., Wilson, I.A., Hunter, T.	1.641	X-RAY DIFFRACTION	0.225	0.18899999999999997	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None	6X1U_HL_D
6bzv	C	D	0	J	peptide		e2 as412 peptide	IMMUNE SYSTEM	12/26/17	Structure of the Hepatitis C virus envelope glycoprotein E2 antigenic region 412-423 bound to the GL precursor of the broadly neutralizing antibody 19B3	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	hepatitis c virus	Tzarum, N., Alemn, F., Wilson, I.A., Law, M.	2.654	X-RAY DIFFRACTION	0.241	0.19899999999999998	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None	6BZV_CD_J
6bzv	G	H	0	L	peptide		e2 as412 peptide	IMMUNE SYSTEM	12/26/17	Structure of the Hepatitis C virus envelope glycoprotein E2 antigenic region 412-423 bound to the GL precursor of the broadly neutralizing antibody 19B3	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	hepatitis c virus	Tzarum, N., Alemn, F., Wilson, I.A., Law, M.	2.654	X-RAY DIFFRACTION	0.241	0.19899999999999998	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None	6BZV_GH_L
6bzv	A	B	0	I	peptide		e2 as412 peptide	IMMUNE SYSTEM	12/26/17	Structure of the Hepatitis C virus envelope glycoprotein E2 antigenic region 412-423 bound to the GL precursor of the broadly neutralizing antibody 19B3	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	hepatitis c virus	Tzarum, N., Alemn, F., Wilson, I.A., Law, M.	2.654	X-RAY DIFFRACTION	0.241	0.19899999999999998	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None	6BZV_AB_I
6bzv	E	F	0	K	peptide		e2 as412 peptide	IMMUNE SYSTEM	12/26/17	Structure of the Hepatitis C virus envelope glycoprotein E2 antigenic region 412-423 bound to the GL precursor of the broadly neutralizing antibody 19B3	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	hepatitis c virus	Tzarum, N., Alemn, F., Wilson, I.A., Law, M.	2.654	X-RAY DIFFRACTION	0.241	0.19899999999999998	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None	6BZV_EF_K
6ct7	H	L	0	S	peptide		ace-met-asp-val-phe-met-lys-gly-leu-ser-lys	IMMUNE SYSTEM	12/19/18	Fab of anti-a-synuclein antibody BIIB054 in complex with acetylated a-synuclein peptide (1-10)	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Arndt, J.W.	1.903	X-RAY DIFFRACTION	0.223	0.18	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None	6CT7_HL_S
6ct7	A	B	0	T	peptide		ace-met-asp-val-phe-met-lys-gly-leu-ser-lys	IMMUNE SYSTEM	12/19/18	Fab of anti-a-synuclein antibody BIIB054 in complex with acetylated a-synuclein peptide (1-10)	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Arndt, J.W.	1.903	X-RAY DIFFRACTION	0.223	0.18	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None	6CT7_AB_T
6nmt	B	A	0	C	protein		tyrosine-protein phosphatase non-receptor type substrate 1	IMMUNE SYSTEM	01/11/19	Non-Blocking Fab 3 anti-SIRP-alpha antibody in complex with SIRP-alpha Variant 1	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Wibowo, A.S., Carter, J.J., Sim, J.	1.83	X-RAY DIFFRACTION	0.204	0.17800000000000002	False	True	unknown	unknown	unknown	None	None	None	None	None	6NMT_BA_C
3kr3	H	L	0	D	protein		insulin-like growth factor ii	IMMUNE SYSTEM	11/17/09	Crystal structure of IGF-II antibody complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Peat, T.S., Newman, J., Adams, T.E.	2.2	X-RAY DIFFRACTION	0.251	0.19899999999999998	False	True	IGHV3	IGKV1	Kappa	4.90E-11	-14.06	SPR	25	20515953	3KR3_HL_D
3kdm	H	L	0	H	Hapten	TES	TESTOSTERONE	IMMUNE SYSTEM	10/23/09	Crystal Structure of Human Anti-steroid Fab 5F2 in Complex with Testosterone	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Niemi, M.H., Rouvinen, J.	1.5	X-RAY DIFFRACTION	0.208	0.18	True	True	IGHV3	IGKV1	Kappa	1.00E-07	-9.54	Other	25	21360611	3KDM_HL_H
3kdm	B	A	0	B	Hapten	TES	TESTOSTERONE	IMMUNE SYSTEM	10/23/09	Crystal Structure of Human Anti-steroid Fab 5F2 in Complex with Testosterone	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Niemi, M.H., Rouvinen, J.	1.5	X-RAY DIFFRACTION	0.208	0.18	True	True	IGHV3	IGKV1	Kappa	1.00E-07	-9.54	Other	25	21360611	3KDM_BA_B
6tou		A	0	G	protein		glycoprotein,glycoprotein	VIRAL PROTEIN	12/12/19	Rabies virus glycoprotein PH domain in complex with the scFv fragment of broadly neutralizing human antibody RVC20	RABIES LYSSAVIRUS; HOMO SAPIENS	homo sapiens		rabies lyssavirus	Hellert, J., Rey, F.A.	2.5869999999999997	X-RAY DIFFRACTION	0.225	0.19	True	True	unknown	unknown	unknown	None	None	None	None	None	6TOU_A_G
3rkd	D	C	0	B	protein		capsid protein	VIRAL PROTEIN/IMMUNE SYSTEM	04/18/11	Hepatitis E Virus E2s domain (Genotype I) in complex with a neutralizing antibody	HEPATITIS E VIRUS; MUS MUSCULUS	mus musculus	mus musculus	hepatitis e virus	Tang, X.H., Sivaraman, J.	1.9	X-RAY DIFFRACTION	0.217	0.18899999999999997	False	False	IGHV8	IGKV12	Kappa	5.89E-09	-11.22	SPR		21642534	3RKD_DC_B
3rkd	H	L	0	A	protein		capsid protein	VIRAL PROTEIN/IMMUNE SYSTEM	04/18/11	Hepatitis E Virus E2s domain (Genotype I) in complex with a neutralizing antibody	HEPATITIS E VIRUS; MUS MUSCULUS	mus musculus	mus musculus	hepatitis e virus	Tang, X.H., Sivaraman, J.	1.9	X-RAY DIFFRACTION	0.217	0.18899999999999997	False	False	IGHV8	IGKV12	Kappa	5.89E-09	-11.22	SPR		21642534	3RKD_HL_A
5j74		B	0	b	Hapten	6GN	1-(17-amino-5,8-dioxo-12,15-dioxa-4,9-diazaheptadecan-1-yl)-4-{[3-(3-sulfopropyl)-1,3-benzothiazol-3-ium-2-yl]methyl}quinolin-1-ium	IMMUNE SYSTEM	04/05/16	Fluorogen activating protein AM2.2 in complex with TO1-2p	HOMO SAPIENS	homo sapiens			Stanfield, R.L., Wilson, I.A., Wu, Y.	2.7	X-RAY DIFFRACTION	0.250	0.19699999999999998	True	True	unknown	unknown	unknown	None	None	None	None	None	5J74_B_b
5j74		A	0	a	Hapten	6GN	1-(17-amino-5,8-dioxo-12,15-dioxa-4,9-diazaheptadecan-1-yl)-4-{[3-(3-sulfopropyl)-1,3-benzothiazol-3-ium-2-yl]methyl}quinolin-1-ium	IMMUNE SYSTEM	04/05/16	Fluorogen activating protein AM2.2 in complex with TO1-2p	HOMO SAPIENS	homo sapiens			Stanfield, R.L., Wilson, I.A., Wu, Y.	2.7	X-RAY DIFFRACTION	0.250	0.19699999999999998	True	True	unknown	unknown	unknown	None	None	None	None	None	5J74_A_a
5utz	F	G	0	E	protein		interleukin-2	CYTOKINE/IMMUNE SYSTEM	02/15/17	Human IL-2/Fab complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Jude, K.M., Garcia, K.C.	2.747	X-RAY DIFFRACTION	0.248	0.193	False	True	IGHV4	IGLV6	Lambda	None	None	None	None	None	5UTZ_FG_E
5utz	H	L	0	D	protein		interleukin-2	CYTOKINE/IMMUNE SYSTEM	02/15/17	Human IL-2/Fab complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Jude, K.M., Garcia, K.C.	2.747	X-RAY DIFFRACTION	0.248	0.193	False	True	IGHV4	IGLV6	Lambda	None	None	None	None	None	5UTZ_HL_D
5utz	B	C	0	A	protein		interleukin-2	CYTOKINE/IMMUNE SYSTEM	02/15/17	Human IL-2/Fab complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Jude, K.M., Garcia, K.C.	2.747	X-RAY DIFFRACTION	0.248	0.193	False	True	IGHV4	IGLV6	Lambda	None	None	None	None	None	5UTZ_BC_A
5utz	J	K	0	I	protein		interleukin-2	CYTOKINE/IMMUNE SYSTEM	02/15/17	Human IL-2/Fab complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Jude, K.M., Garcia, K.C.	2.747	X-RAY DIFFRACTION	0.248	0.193	False	True	IGHV4	IGLV6	Lambda	None	None	None	None	None	5UTZ_JK_I
4qww	D	C	0	B	protein		acetylcholinesterase	HYDROLASE/IMMUNE SYSTEM	07/17/14	Crystal structure of the Fab410-BfAChE complex	BUNGARUS FASCIATUS; MUS MUSCULUS	mus musculus	mus musculus	bungarus fasciatus	Bourne, Y., Renault, L., Marchot, P.	2.7	X-RAY DIFFRACTION	0.239	0.19899999999999998	False	False	IGHV10	IGKV4	Kappa	None	None	None	None	None	4QWW_DC_B
4qww	F	E	0	A	protein		acetylcholinesterase	HYDROLASE/IMMUNE SYSTEM	07/17/14	Crystal structure of the Fab410-BfAChE complex	BUNGARUS FASCIATUS; MUS MUSCULUS	mus musculus	mus musculus	bungarus fasciatus	Bourne, Y., Renault, L., Marchot, P.	2.7	X-RAY DIFFRACTION	0.239	0.19899999999999998	False	False	IGHV10	IGKV4	Kappa	None	None	None	None	None	4QWW_FE_A
1baf	H	L	0	L	Hapten	NPP	N-(2-AMINO-ETHYL)-4,6-DINITRO-N'-(2,2,6,6-TETRAMETHYL-1-OXY-PIPERIDIN-4-YL)-BENZENE-1,3-DIAMINE	IMMUNOGLOBULIN	01/16/92	2.9 ANGSTROMS RESOLUTION STRUCTURE OF AN ANTI-DINITROPHENYL-SPIN-LABEL MONOCLONAL ANTIBODY FAB FRAGMENT WITH BOUND HAPTEN	MUS MUSCULUS		mus musculus	mus musculus	Leahy, D.J., Brunger, A.T., Fox, R.O., Hynes, T.R.	2.9	X-RAY DIFFRACTION	unknown	0.195	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None	1BAF_HL_L
4py8	I	J	0	BA	protein | protein	NA | NA	hemagglutinin ha2 chain | hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	03/26/14	Crystal structure of Fab 3.1 in complex with the 1918 influenza virus hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Dreyfus, C.	2.91	X-RAY DIFFRACTION	0.242	0.193	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	4PY8_IJ_BA
4ydl	B	C	0	A	protein		envelope glycoprotein gp160,envelope glycoprotein gp160	IMMUNE SYSTEM	02/22/15	Crystal structure of broadly and potently neutralizing antibody C38-VRC18.02 in complex with HIV-1 clade AE strain 93TH057gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Srivatsan, S., Kwong, P.D.	1.8	X-RAY DIFFRACTION	0.207	0.174	False	True	unknown	IGKV3	Kappa	None	None	None	None	None	4YDL_BC_A
4ydl	H	L	0	G	protein		envelope glycoprotein gp160,envelope glycoprotein gp160	IMMUNE SYSTEM	02/22/15	Crystal structure of broadly and potently neutralizing antibody C38-VRC18.02 in complex with HIV-1 clade AE strain 93TH057gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Srivatsan, S., Kwong, P.D.	1.8	X-RAY DIFFRACTION	0.207	0.174	False	True	unknown	IGKV3	Kappa	None	None	None	None	None	4YDL_HL_G
7bek	H	L	0	E	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/03/21	Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-158 Fab (crystal form 2)	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Zhao, Y., Ren, J., Stuart, D.	2.04	X-RAY DIFFRACTION	0.220	0.2	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None	7BEK_HL_E
6aod	B	A	0	C	protein		coagulation factor xi	BLOOD CLOTTING/IMMUNE SYSTEM	08/15/17	FXIa antibody complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lolicato, M., Minor, D.L.	1.8	X-RAY DIFFRACTION	0.207	0.182	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None	6AOD_BA_C
1uj3	B	A	0	C	protein		tissue factor	IMMUNE SYSTEM/BLOOD CLOTTING	07/25/03	Crystal structure of a humanized Fab fragment of anti-tissue-factor antibody in complex with tissue factor	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Ohto, U., Mizutani, R., Nakamura, M., Adachi, H., Satow, Y.	2.1	X-RAY DIFFRACTION	0.227	0.196	False	True	IGHV1	IGKV1D	Kappa	None	None	None	None	None	1UJ3_BA_C
5w3p	H	L	0	P	peptide		amyloid beta a4 protein	IMMUNE SYSTEM	06/08/17	ANTIBODY C706 IN COMPLEX WTH BETA-AMYLOID PEPTIDE 1-16	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Teplyakov, A., Obmolova, G., Gilliland, G.L.	1.92	X-RAY DIFFRACTION	0.236	0.198	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None	5W3P_HL_P
6bpc	B	C	0	A	protein		reticulocyte binding protein 2, putative	CELL INVASION	11/22/17	Plasmodium vivax reticulocyte binding protein 2b (PvRBP2b) bound to monoclonal antibody 4F7	PLASMODIUM VIVAX (STRAIN SALVADOR I); MUS MUSCULUS	mus musculus	mus musculus	plasmodium vivax (strain salvador i)	Gruszczyk, J., Chan, L.J., Tham, W.H.	2.66	X-RAY DIFFRACTION	0.215	0.19699999999999998	False	False	IGHV5	IGKV6	Kappa	None	None	None	None	None	6BPC_BC_A
6bpc	E	F	0	D	protein		reticulocyte binding protein 2, putative	CELL INVASION	11/22/17	Plasmodium vivax reticulocyte binding protein 2b (PvRBP2b) bound to monoclonal antibody 4F7	PLASMODIUM VIVAX (STRAIN SALVADOR I); MUS MUSCULUS	mus musculus	mus musculus	plasmodium vivax (strain salvador i)	Gruszczyk, J., Chan, L.J., Tham, W.H.	2.66	X-RAY DIFFRACTION	0.215	0.19699999999999998	False	False	IGHV5	IGKV6	Kappa	None	None	None	None	None	6BPC_EF_D
5eoq	H	L	0	A	peptide		protein a27	VIRAL PROTEIN/IMMUNE SYSTEM	11/10/15	Structure of the murine Fab 1G6 bound to the vaccinia virus A27 peptide 31-40	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	vaccinia virus	Matho, M.H., Zajonc, D.M.	1.95	X-RAY DIFFRACTION	0.235	0.19699999999999998	False	False	IGHV8	IGKV1	Kappa	None	None	None	None	None	5EOQ_HL_A
3nps	B	C	0	A	protein		suppressor of tumorigenicity 14 protein	HYDROLASE/IMMUNE SYSTEM	06/29/10	Crystal structure of membrane-type serine protease 1 (MT-SP1) in complex with the Fab Inhibitor S4	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Baharuddin, A.	1.5	X-RAY DIFFRACTION	0.228	0.188	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None	3NPS_BC_A
6db6	H	L	0	P	peptide		hiv-1 gp120 v3 peptide from mn strain	IMMUNE SYSTEM	05/02/18	Crystal structure of anti-HIV-1 V3 Fab 311-11D in complex with a HIV-1 gp120 V3 peptide from MN strain	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Chan, K.-W., Kong, X.-P.	1.9780000000000002	X-RAY DIFFRACTION	0.216	0.174	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None	6DB6_HL_P
1cbv	H	L	0	D	nucleic-acid		dna (5'-d(*tp*tp*t)-3')	IMMUNE SYSTEM/DNA	03/16/93	AN AUTOANTIBODY TO SINGLE-STRANDED DNA: COMPARISON OF THE THREE-DIMENSIONAL STRUCTURES OF THE UNLIGANDED FAB AND A DEOXYNUCLEOTIDE-FAB COMPLEX	MUS MUSCULUS; SYNTHETIC CONSTRUCT		mus musculus	mus musculus	Herron, J.N., He, X.M., Ballard, D.W., Blier, P.R., Pace, P.E., Bothwell, A.L., Voss Jr., E.W., Edmundson, A.B.	2.66	X-RAY DIFFRACTION	unknown	0.191	False	True	IGHV10	IGKV1	Kappa	None	None	None	None	None	1CBV_HL_D
6vry	H	L	0	G	peptide		siv v2 peptide	IMMUNE SYSTEM	02/10/20	Structure of NCI09 fab in complex with SIV V2 peptide	MACACA MULATTA; SYNTHETIC CONSTRUCT	macaca mulatta	macaca mulatta	simian immunodeficiency virus	Gorman, J., Ahmadi, M., Kwong, P.D.	1.4	X-RAY DIFFRACTION	0.168	0.147	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None	6VRY_HL_G
3pp4	H	L	0	P	peptide		b-lymphocyte antigen cd20	IMMUNE SYSTEM	11/24/10	Epitope characterization and crystal structure of GA101 provide insights into the molecular basis for the type I / type II distinction of anti- CD20 antibodies	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Hopfner, K.-P., Lammens, A.	1.6	X-RAY DIFFRACTION	0.187	0.13699999999999998	False	True	IGHV1	IGKV2D	Kappa	7.00E-06		ITC	25	21444918	3PP4_HL_P
3qo0	B	A	0	C	peptide		peptide from tubulin beta chain	IMMUNE SYSTEM	02/09/11	Monoclinic form of IgG1 Fab fragment (in complex with antigenic peptide) sharing same Fv as IgA	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Trajtenberg, F., Correa-Bove, A., Buschiazzo, A.	2.3	X-RAY DIFFRACTION	0.221	0.16899999999999998	False	False	IGHV3	IGKV2	Kappa	None	None	None	None	None	3QO0_BA_C
6pef	A	B	0	C	peptide		hiv fusion peptide residue 512-519	IMMUNE SYSTEM	06/20/19	Vaccine-elicited NHP FP-targeting antibody DF2F-a.01 in complex with HIV fusion peptide (residue 512-519)	MACACA MULATTA; SYNTHETIC CONSTRUCT	macaca mulatta	macaca mulatta	human immunodeficiency virus 1	Xu, K., Liu, K., Wang, Y., Kwong, P.D.	2.004	X-RAY DIFFRACTION	0.214	0.183	False	True	IGHV4	IGLV1	Lambda	None	None	None	None	None	6PEF_AB_C
6pef	D	E	0	F	peptide		hiv fusion peptide residue 512-519	IMMUNE SYSTEM	06/20/19	Vaccine-elicited NHP FP-targeting antibody DF2F-a.01 in complex with HIV fusion peptide (residue 512-519)	MACACA MULATTA; SYNTHETIC CONSTRUCT	macaca mulatta	macaca mulatta	human immunodeficiency virus 1	Xu, K., Liu, K., Wang, Y., Kwong, P.D.	2.004	X-RAY DIFFRACTION	0.214	0.183	False	True	IGHV4	IGLV1	Lambda	None	None	None	None	None	6PEF_DE_F
6a0z	H	L	0	A	protein		hemagglutinin,envelope glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	06/06/18	Crystal structure of broadly neutralizing antibody 13D4 bound to H5N1 influenza hemagglutinin, HA head region	INFLUENZA A VIRUS; HUMAN IMMUNODEFICIENCY VIRUS 1; MUS MUSCULUS	mus musculus	mus musculus	influenza a virus, human immunodeficiency virus1 	Li, S., Li, T.	2.329	X-RAY DIFFRACTION	0.218	0.172	False	False	IGHV1	IGKV6	Kappa	None	None	None	None	None	6A0Z_HL_A
