pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
5f9w	H	L	0	G	protein	NA	clade a/e 93th057 hiv-1 gp120 core	IMMUNE SYSTEM	12/10/15	Crystal structure of broadly neutralizing VH1-46 germline-derived CD4-binding site-directed antibody CH235 in complex with HIV-1 clade A/E 93TH057 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Chen, L., Zhou, T., Kwong, P.D.	2.8911	X-RAY DIFFRACTION	0.232	0.180	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7lsf	H	L	0	E	protein	NA	envelope protein e	IMMUNE SYSTEM/VIRAL PROTEIN	04/07/21	Crystal structure of the human neutralizing antibody Fab fragment T025 bound to TBEV EDIII (Western Subtype)	HOMO SAPIENS; TICK-BORNE ENCEPHALITIS VIRUS (WESTERN SUBTYPE)	homo sapiens	homo sapiens	tick-borne encephalitis virus (westernsubtype) 	Keeffe, J.R., Bjorkman, P.J.	2.24	X-RAY DIFFRACTION	0.227	0.189	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
4kaq	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/22/13	Structure of rituximab Fab	HOMO SAPIENS, MUS MUSCULUS	homo sapiens, mus musculus	homo sapiens, mus musculus		Bzymek, K.P., Williams, J.C.	2.48	X-RAY DIFFRACTION	0.230	0.180	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
3o6k	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/29/10	Crystal structure of anti-Tat HIV Fab'11H6H1	MUS MUSCULUS	mus musculus	mus musculus		Serriere, J., Gouet, P., Guillon, C.	2.0	X-RAY DIFFRACTION	0.246	0.199	False	False	IGHV5	IGKV1	Kappa	None	None	None	None	None
6qf6	D	D	0	NA	NA	NA	NA	APOPTOSIS	01/09/19	Structure of an E.coli expressed anti-Mcl1 scFv	HOMO SAPIENS	homo sapiens			Luptak, J.	2.59	X-RAY DIFFRACTION	0.262	0.181	True	True	unknown	unknown	unknown	None	None	None	None	None
6qf6	B	B	0	NA	NA	NA	NA	APOPTOSIS	01/09/19	Structure of an E.coli expressed anti-Mcl1 scFv	HOMO SAPIENS	homo sapiens			Luptak, J.	2.59	X-RAY DIFFRACTION	0.262	0.181	True	True	unknown	unknown	unknown	None	None	None	None	None
6qf6	A	A	0	NA	NA	NA	NA	APOPTOSIS	01/09/19	Structure of an E.coli expressed anti-Mcl1 scFv	HOMO SAPIENS	homo sapiens			Luptak, J.	2.59	X-RAY DIFFRACTION	0.262	0.181	True	True	unknown	unknown	unknown	None	None	None	None	None
6qf6	C	C	0	NA	NA	NA	NA	APOPTOSIS	01/09/19	Structure of an E.coli expressed anti-Mcl1 scFv	HOMO SAPIENS	homo sapiens			Luptak, J.	2.59	X-RAY DIFFRACTION	0.262	0.181	True	True	unknown	unknown	unknown	None	None	None	None	None
6ztr	A	B	0	J	protein	NA	cadherin-3	IMMUNE SYSTEM	05/05/21	Crystal Structure of the anti-human P-Cadherin Fab CQY684 in complex with human P-Cadherin(108-324)	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Rondeau, J.M., Lehmann, S.	2.1	X-RAY DIFFRACTION	0.221	0.192	False	True	IGHV6	IGKV1	Kappa	None	None	None	None	None
6ztr	H	L	0	I	protein	NA	cadherin-3	IMMUNE SYSTEM	05/05/21	Crystal Structure of the anti-human P-Cadherin Fab CQY684 in complex with human P-Cadherin(108-324)	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Rondeau, J.M., Lehmann, S.	2.1	X-RAY DIFFRACTION	0.221	0.192	False	True	IGHV6	IGKV1	Kappa	None	None	None	None	None
6plk	H	L	0	E	protein	NA	env	ANTIVIRAL PROTEIN	07/01/19	Crystal structure of ZIKV-116 Fab in complex with ZIKV envelope DIII	HOMO SAPIENS; ZIKA VIRUS ZIKV/H. SAPIENS/FRENCHPOLYNESIA/10087PF/2013	homo sapiens	homo sapiens	zika virus zikv/h.sapiens/frenchpolynesia/10087pf/2013 	Zhao, H., Fremont, D.H., Center for Structural Genomics of Infectious Diseases (CSGID)	2.3	X-RAY DIFFRACTION	0.211	0.167	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
6plk	I	M	0	F	protein	NA	env	ANTIVIRAL PROTEIN	07/01/19	Crystal structure of ZIKV-116 Fab in complex with ZIKV envelope DIII	HOMO SAPIENS; ZIKA VIRUS ZIKV/H. SAPIENS/FRENCHPOLYNESIA/10087PF/2013	homo sapiens	homo sapiens	zika virus zikv/h.sapiens/frenchpolynesia/10087pf/2013 	Zhao, H., Fremont, D.H., Center for Structural Genomics of Infectious Diseases (CSGID)	2.3	X-RAY DIFFRACTION	0.211	0.167	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
1ngp	H	L	0	H	Hapten	NPA	2-(4-HYDROXY-3-NITROPHENYL)ACETIC ACID	IMMUNOGLOBULIN	06/23/95	N1G9 (IGG1-LAMBDA) FAB FRAGMENT COMPLEXED WITH (4-HYDROXY-3-NITROPHENYL) ACETATE	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Mizutani, R., Satow, Y.	2.4	X-RAY DIFFRACTION	0.250	0.196	False	False	IGHV1	IGLV1	Lambda	None	None	None	None	None
6meg	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	09/06/18	Broadly neutralizing antibodies against HCV use a CDRH3 disulfide motif to recognize an E2 glycoprotein site that can be targeted for vaccine design	HOMO SAPIENS	homo sapiens	homo sapiens		Flyak, A.I., Bjorkman, P.J.	1.41	X-RAY DIFFRACTION	0.200	0.174	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
6cjk	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/26/18	Anti HIV Fab 10A	ORYCTOLAGUS CUNICULUS	oryctolagus cuniculus	oryctolagus cuniculus		Hangartner, L., Ward, A.B., Wilson, I.A., Oyen, D.	1.795	X-RAY DIFFRACTION	0.206	0.163	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
6cjk	D	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/26/18	Anti HIV Fab 10A	ORYCTOLAGUS CUNICULUS	oryctolagus cuniculus	oryctolagus cuniculus		Hangartner, L., Ward, A.B., Wilson, I.A., Oyen, D.	1.795	X-RAY DIFFRACTION	0.206	0.163	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
1ru9	H	L	0	NA	NA	NA	NA	immune system	12/11/03	Crystal Structure (A) of u.v.-irradiated cationic cyclization antibody 4C6 Fab at pH 4.6 with a data set collected in-house.	MUS MUSCULUS	mus musculus	mus musculus		Zhu, X., Wentworth Jr., P., Wentworth, A.D., Eschenmoser, A., Lerner, R.A., Wilson, I.A.	2.5	X-RAY DIFFRACTION	0.247	0.192	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
1mvu	B	A	0	P	peptide	NA	p-glycoprotein	immune system	09/26/02	SINGLE CHAIN FV OF C219 HEAVY CHAIN V101L MUTANT IN COMPLEX WITH SYNTHETIC EPITOPE PEPTIDE	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Chan, D.C.M., Kuntz, D.A., Rose, D.R.	1.78	X-RAY DIFFRACTION	0.223	0.197	True	True	IGHV14	IGKV8	Kappa	None	None	None	None	None
5zv3	H	L	0	A	peptide	NA	peptide from microtubule-associated protein tau	IMMUNE SYSTEM	05/09/18	Crystal structure of human anti-tau antibody CBTAU-28.1 in complex with its tau peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Zhang, H., Wilson, I.A.	2.093	X-RAY DIFFRACTION	0.251	0.187	False	True	IGHV5	IGKV4	Kappa	None	None	None	None	None
5tpp	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/20/16	Crystal Structure of DH270.5 (unliganded) from the DH270 Broadly Neutralizing N332-glycan Dependent Lineage	HOMO SAPIENS	homo sapiens	homo sapiens		Fera, D., Harrison, S.C.	1.85	X-RAY DIFFRACTION	0.212	0.179	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
6vtu	H	L	0	A	carbohydrate	MAN	ALPHA-D-MANNOSE	IMMUNE SYSTEM	02/13/20	DH717.1 Fab monomer in complex with man9 glycan	HOMO SAPIENS	homo sapiens	homo sapiens		Fera, D., Bronkema, N.	2.61	X-RAY DIFFRACTION	0.224	0.191	False	True	IGHV4	IGLV2	Lambda	None	None	None	None	None
4lkc	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/07/13	An Antibody Against the C-terminal Domain of PCSK9 lowers LDL Cholesterol Levels in vivo	HOMO SAPIENS	homo sapiens	homo sapiens		Schiele, F., Nar, H.	2.2	X-RAY DIFFRACTION	0.245	0.172	False	True	IGHV3	IGKV1	Kappa	None	None	None
4hkx	A	B	0	E	protein	NA	hemagglutinin ha1	VIRAL PROTEIN/IMMUNE SYSTEM	10/15/12	Influenza hemagglutinin in complex with CH67 Fab	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Schmidt, A.G., Harrison, S.C.	2.5	X-RAY DIFFRACTION	0.219	0.187	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
6jp7	H	L	0	L	Hapten	3FX	(2R)-3-(CYCLOHEXYLAMINO)-2-HYDROXYPROPANE-1-SULFONIC ACID	VIRAL PROTEIN/IMMUNE SYSTEM	03/26/19	Human antibody 32D6 Fab in complex with PEG	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lee, C.C., Ko, T.P., Lin, L.L., Wang, A.H.J.	1.909	X-RAY DIFFRACTION	0.214	0.169	False	True	IGHV4	IGLV4	Lambda	None	None	None	None	None
5od8	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/05/17	Crystal structure of the RA-associated mAb B2 (Fab fragment)	HOMO SAPIENS	homo sapiens	homo sapiens		Dobritzsch, D., Ge, C., Holmdahl, R., Amara, K., Malmstrom, V.	2.2	X-RAY DIFFRACTION	0.243	0.200	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
2ipu	G	K	0	P	peptide	NA	abeta 1-8 peptide	IMMUNE SYSTEM	10/12/06	PFA1 Fab fragment complexed with Abeta 1-8 peptide	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Gardberg, A.S., Dealwis, C.	1.65	X-RAY DIFFRACTION	0.225	0.182	False	False	IGHV8	IGKV1	Kappa	None	None	None	None	None
2ipu	H	L	0	Q	peptide	NA	abeta 1-8 peptide	IMMUNE SYSTEM	10/12/06	PFA1 Fab fragment complexed with Abeta 1-8 peptide	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Gardberg, A.S., Dealwis, C.	1.65	X-RAY DIFFRACTION	0.225	0.182	False	False	IGHV8	IGKV1	Kappa	None	None	None	None	None
6b5l	H	L	0	A	peptide	NA	pfcsp peptide 20	IMMUNE SYSTEM	09/29/17	Structure of PfCSP peptide 20 with human protective antibody CIS43	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	plasmodium falciparum	Pancera, M., Weidle, C.	2.4	X-RAY DIFFRACTION	0.238	0.199	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
6b08	C	B	0	A	protein	NA	pfs25	IMMUNE SYSTEM	09/14/17	Crystal structure of Pfs25 in complex with the transmission blocking antibody 1276	HOMO SAPIENS; PLASMODIUM FALCIPARUM	homo sapiens	homo sapiens	plasmodium falciparum	Scally, S.W., McLeod, B., Bosch, A., King, C.R., Julien, J.P.	2.2	X-RAY DIFFRACTION	0.233	0.191	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
2j4w	H	L	0	D	peptide	NA	apical membrane antigen 1	IMMUNE SYSTEM	09/07/06	Structure of a Plasmodium vivax apical membrane antigen 1-Fab F8.12. 18 complex	PLASMODIUM VIVAX; MUS MUSCULUS	mus musculus	mus musculus	plasmodium vivax	Igonet, S., Vulliez-Le Normand, B., Faure, G., Riottot, M.M., Kocken, C.H.M., Thomas, A.W., Bentley, G.A.	2.5	X-RAY DIFFRACTION	0.241	0.187	False	False	IGHV5	IGKV4	Kappa	6.00E-10	-12.57	SPR	NA	17229439
6k4z	A	A	0	a	Hapten	NPA	2-(4-HYDROXY-3-NITROPHENYL)ACETIC ACID	IMMUNE SYSTEM	05/27/19	Single-chain Fv antibody of C6 COMPLEXED WITH 2-(4-HYDROXY-3-NITROPHENYL)ACETIC ACID	MUS MUSCULUS	mus musculus			Nishiguchi, A., Numoto, N., Ito, N., Azuma, T., Oda, M.	1.65	X-RAY DIFFRACTION	0.196	0.167	True	True	unknown	unknown	unknown	None	None	None	None	None
6k4z	B	B	0	b	Hapten	NPA	2-(4-HYDROXY-3-NITROPHENYL)ACETIC ACID	IMMUNE SYSTEM	05/27/19	Single-chain Fv antibody of C6 COMPLEXED WITH 2-(4-HYDROXY-3-NITROPHENYL)ACETIC ACID	MUS MUSCULUS	mus musculus			Nishiguchi, A., Numoto, N., Ito, N., Azuma, T., Oda, M.	1.65	X-RAY DIFFRACTION	0.196	0.167	True	True	unknown	unknown	unknown	None	None	None	None	None
1aqk	H	L	0	NA	NA	NA	NA	IMMUNOGLOBULIN	07/30/97	THREE-DIMENSIONAL STRUCTURE OF A HUMAN FAB WITH HIGH AFFINITY FOR TETANUS TOXOID	HOMO SAPIENS	homo sapiens	homo sapiens		Faber, C., Fan, Z., Edmundson, A.B.	1.84	X-RAY DIFFRACTION	unknown	0.185	False	False	IGHV3	IGLV1	Lambda	None	None	None	None	None
6xoc	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/31/21	Crystal structure of glVRC01 Fab in complex with anti-idiotypic iv4 Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Aljedani, S.S., Weidle, C., Pancera, M.	2.45	X-RAY DIFFRACTION	0.240	0.199	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
6xoc	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/31/21	Crystal structure of glVRC01 Fab in complex with anti-idiotypic iv4 Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Aljedani, S.S., Weidle, C., Pancera, M.	2.45	X-RAY DIFFRACTION	0.240	0.199	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
4wv1	B	A	0	C	protein	NA	fibroblast growth factor receptor 2	TRANSFERASE/IMMUNE SYSTEM	11/04/14	Crystal structure of the FGFR2 D2 domain in complex with Fab 2B.1.3	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Yin, Y., Carter, P.J.	2.362	X-RAY DIFFRACTION	0.244	0.198	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
4wv1	E	D	0	F	protein	NA	fibroblast growth factor receptor 2	TRANSFERASE/IMMUNE SYSTEM	11/04/14	Crystal structure of the FGFR2 D2 domain in complex with Fab 2B.1.3	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Yin, Y., Carter, P.J.	2.362	X-RAY DIFFRACTION	0.244	0.198	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
4xml	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/14/15	Crystal structure of Fab of HIV-1 gp120 V3-specific human monoclonal antibody 2424	HOMO SAPIENS	homo sapiens	homo sapiens		Pan, R., Kong, X.-P.	2.68	X-RAY DIFFRACTION	0.285	0.200	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
1qfu	H	L	0	A	protein	NA	protein (hemagglutinin (ha1 chain))	Viral protein/Immune system	04/14/99	INFLUENZA VIRUS HEMAGGLUTININ COMPLEXED WITH A NEUTRALIZING ANTIBODY	INFLUENZA A VIRUS (A/X-31(H3N2)); MUS MUSCULUS	mus musculus	mus musculus	influenza a virus (a/x-31(h3n2))	Fleury, D., Gigant, B., Bizebard, T., Daniels, R.S., Skehel, J.J., Knossow, M.	2.8	X-RAY DIFFRACTION	0.284	0.198	False	False	IGHV1	IGKV1	Kappa	3.00E-09	-11.5	SPR	22	10360354
4pb9	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/11/14	Structure of the Fab fragment of the anti-Francisella tularensis GroEL antibody Ab64	MUS MUSCULUS	mus musculus	mus musculus		Lu, Z., Rynkiewicz, M.J., Seaton, B.A., Sharon, J.	2.6	X-RAY DIFFRACTION	0.240	0.185	False	False	IGHV1	IGKV2	Kappa	None	None	None	None	None
6bqb	H	L	0	P	peptide	NA	n-terminal junction peptide	IMMUNE SYSTEM	11/27/17	MGG4 Fab in complex with peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	plasmodium falciparum	Oyen, D., Tan, J., Lanzavecchia, A., Wilson, I.A.	1.769	X-RAY DIFFRACTION	0.196	0.166	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
3o2d	H	L	0	A	protein	NA	t-cell surface glycoprotein cd4	IMMUNE SYSTEM	07/22/10	Crystal structure of HIV-1 primary receptor CD4 in complex with a potent antiviral antibody	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Freeman, M.M., Seaman, M.S., Rits-Volloch, S., Hong, X., Ho, D.D., Chen, B.	2.19	X-RAY DIFFRACTION	0.224	0.192	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
5jue	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/10/16	Crystal Structure of UIC2 Fab	MUS MUSCULUS	mus musculus	mus musculus		Xia, D., Esser, L.	1.65	X-RAY DIFFRACTION	0.203	0.165	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
2e27	H	L	0	H	Hapten	AB0	3,7:6,10:9,14-TRIANHYDRO-2,5,11,12,13-PENTADEOXY-4-O-(METHOXYMETHYL)-L-ARABINO-L-ALLO-TETRADEC-12-ENONIC ACID	IMMUNE SYSTEM	11/08/06	Crystal structure of Fv fragment of anti-ciguatoxin antibody complexed with ABC-ring of ciguatoxin	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Yokota, A., Tanaka, Y., Tsumoto, K.	1.7	X-RAY DIFFRACTION	0.210	0.198	False	True	IGHV1	IGKV19	Kappa	None	None	None	None	None
3i9g	H	L	0	L	Hapten	S1P	(2S,3R,4E)-2-AMINO-3-HYDROXYOCTADEC-4-EN-1-YL DIHYDROGEN PHOSPHATE	IMMUNE SYSTEM	07/10/09	Crystal structure of the LT1009 (SONEPCIZUMAB) antibody Fab fragment in complex with sphingosine-1-phosphate	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Huxford, T.	1.9	X-RAY DIFFRACTION	0.219	0.190	False	True	IGHV5	IGKV1	Kappa	1.10E-09	-12.21	SPR	25	19815502
6glw	C	D	0	B	protein	NA	galectin-10	SUGAR BINDING PROTEIN	05/23/18	Structure of galectin-10 in complex with the Fab fragment of a Charcot-Leyden crystal solubilizing antibody, 1D11	HOMO SAPIENS; LAMA GLAMA	lama glama	lama glama	homo sapiens	Verstraete, K., Verschueren, K., Savvides, S.N.	1.9	X-RAY DIFFRACTION	0.211	0.167	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
6glw	H	L	0	A	protein	NA	galectin-10	SUGAR BINDING PROTEIN	05/23/18	Structure of galectin-10 in complex with the Fab fragment of a Charcot-Leyden crystal solubilizing antibody, 1D11	HOMO SAPIENS; LAMA GLAMA	lama glama	lama glama	homo sapiens	Verstraete, K., Verschueren, K., Savvides, S.N.	1.9	X-RAY DIFFRACTION	0.211	0.167	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
2gjj	A	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/31/06	Crystal structure of a single chain antibody scA21 against Her2/ErbB2	MUS MUSCULUS		mus musculus		Zhu, Z.	2.1	X-RAY DIFFRACTION	0.226	0.189	True	True	unknown	unknown	unknown	None	None	None	None	None
2gjj	B	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/31/06	Crystal structure of a single chain antibody scA21 against Her2/ErbB2	MUS MUSCULUS		mus musculus		Zhu, Z.	2.1	X-RAY DIFFRACTION	0.226	0.189	True	True	unknown	unknown	unknown	None	None	None	None	None
5fcs	H	H	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/15/15	Diabody	HOMO SAPIENS	homo sapiens			Mosyak, L., Root, A.	2.01	X-RAY DIFFRACTION	0.205	0.176	True	True	unknown	unknown	unknown	None	None	None	None	None
5fcs	L	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/15/15	Diabody	HOMO SAPIENS	homo sapiens			Mosyak, L., Root, A.	2.01	X-RAY DIFFRACTION	0.205	0.176	True	True	unknown	unknown	unknown	None	None	None	None	None
4np4	H	L	0	A	protein	NA	toxin b	IMMUNE SYSTEM	11/20/13	Clostridium difficile toxin B CROP domain in complex with FAB domains of neutralizing antibody bezlotoxumab	CLOSTRIDIUM DIFFICILE; HOMO SAPIENS	homo sapiens	homo sapiens	clostridium difficile	Orth, P., Xiao, L., Hernandez, L.D., Reichert, P., Sheth, P., Beaumont, M., Murgolo, N., Ermakov, G., DiNunzio, E., Racine, F., Karczewski, J., Secore, S., Ingram, R.N., Mayhood, T., Strickland, C., Therien, A.G.	2.89	X-RAY DIFFRACTION	0.232	0.198	False	False	IGHV5	IGKV3	Kappa	None	None	None	None	None
4np4	I	M	0	A	protein	NA	toxin b	IMMUNE SYSTEM	11/20/13	Clostridium difficile toxin B CROP domain in complex with FAB domains of neutralizing antibody bezlotoxumab	CLOSTRIDIUM DIFFICILE; HOMO SAPIENS	homo sapiens	homo sapiens	clostridium difficile	Orth, P., Xiao, L., Hernandez, L.D., Reichert, P., Sheth, P., Beaumont, M., Murgolo, N., Ermakov, G., DiNunzio, E., Racine, F., Karczewski, J., Secore, S., Ingram, R.N., Mayhood, T., Strickland, C., Therien, A.G.	2.89	X-RAY DIFFRACTION	0.232	0.198	False	False	IGHV5	IGKV3	Kappa	None	None	None	None	None
6o26	A	B	0	C	peptide	NA	circumsporozoite protein	IMMUNE SYSTEM	02/22/19	Crystal structure of 3246 Fab in complex with circumsporozoite protein NANA	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	plasmodium falciparum	Scally, S.W., Bosch, A., Castro, K., Murugan, R., Wardemann, H., Julien, J.P.	1.8	X-RAY DIFFRACTION	0.207	0.163	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
4hxb	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/09/12	Crystal structure of 6B9 FAB	MUS MUSCULUS	mus musculus	mus musculus		Johal, A.R., Jarrell, H.C., Khieu, N.H., Letts, J.A., Landry, R.C., Jachymek, W., Yang, Q., Jennings, H.J., Brisson, J.R., Evans, S.V.	2.45	X-RAY DIFFRACTION	0.279	0.197	False	False	IGHV9	IGKV1	Kappa	None	None	None	None	None
5wuv	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/21/16	Crystal structure of Certolizumab Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Heo, Y.S., Lee, J.U., Son, J.Y., Shin, W., Yoo, K.Y.	1.952	X-RAY DIFFRACTION	0.179	0.148	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
4lri	C	B	0	NA	NA	NA	NA	Immune System	07/19/13	Anti CMV Fab Fragment	HOMO SAPIENS	homo sapiens	homo sapiens		Stengel, K.F.	1.65	X-RAY DIFFRACTION	0.212	0.187	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
4lri	P	A	0	NA	NA	NA	NA	Immune System	07/19/13	Anti CMV Fab Fragment	HOMO SAPIENS	homo sapiens	homo sapiens		Stengel, K.F.	1.65	X-RAY DIFFRACTION	0.212	0.187	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
4ut7	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/18/14	CRYSTAL STRUCTURE OF THE SCFV FRAGMENT OF THE BROADLY NEUTRALIZING  HUMAN ANTIBODY EDE2 A11	HOMO SAPIENS	homo sapiens	homo sapiens		ROUVINSKI, A., GUARDADO-CALVO, P., BARBA-SPAETH, G., DUQUERROY, S., VANEY, M.C., REY, F.A.	1.7	X-RAY DIFFRACTION	0.1909	0.1602	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
5w0d	B	C	0	A	protein	NA	hemagglutinin ha1	VIRAL PROTEIN/IMMUNE SYSTEM	05/30/17	Inferred precursor (UCA) of the human antibody lineage K03.12 in complex with influenza hemagglutinin H1 Solomon Islands/03/2006	INFLUENZA A VIRUS (A/SOLOMON ISLANDS/3/2006(H1N1)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/solomonislands/3/2006(h1n1)) 	McCarthy, K.R., Harrison, S.C.	1.899	X-RAY DIFFRACTION	0.234	0.196	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
4m1d	I	M	0	Q	peptide	NA	cyclic v3 arch peptide	IMMUNE SYSTEM	08/02/13	Crystal structure of anti-HIV-1 Fab 447-52D in complex with V3 cyclic peptide MN	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Killikelly, A., Kong, X.P.	1.8	X-RAY DIFFRACTION	0.216	0.186	False	True	IGHV3	IGLV1	Lambda	None	None	None
4m1d	H	L	0	P	peptide	NA	cyclic v3 arch peptide	IMMUNE SYSTEM	08/02/13	Crystal structure of anti-HIV-1 Fab 447-52D in complex with V3 cyclic peptide MN	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Killikelly, A., Kong, X.P.	1.8	X-RAY DIFFRACTION	0.216	0.186	False	True	IGHV3	IGLV1	Lambda	None	None	None
4fqq	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/25/12	Crystal Structure of Germline Antibody PGT121-GL Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Scharf, L., Bjorkman, P.J.	2.42	X-RAY DIFFRACTION	0.237	0.194	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
4fqq	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/25/12	Crystal Structure of Germline Antibody PGT121-GL Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Scharf, L., Bjorkman, P.J.	2.42	X-RAY DIFFRACTION	0.237	0.194	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
4fqq	F	E	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/25/12	Crystal Structure of Germline Antibody PGT121-GL Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Scharf, L., Bjorkman, P.J.	2.42	X-RAY DIFFRACTION	0.237	0.194	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
4fqq	D	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/25/12	Crystal Structure of Germline Antibody PGT121-GL Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Scharf, L., Bjorkman, P.J.	2.42	X-RAY DIFFRACTION	0.237	0.194	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
6ca7	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/29/18	Crystal structure of PCT64_13C, a strain specific anti-HIV antibody	HOMO SAPIENS	homo sapiens	homo sapiens		Murrell, S., Wilson, I.A.	1.643	X-RAY DIFFRACTION	0.190	0.169	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
